,word,frequency,character,season,order
1,actually,3,Ryan,9,2
2,little,3,Ryan,9,3
3,he���s,3,Ryan,9,4
4,ravi,3,Ryan,9,5
5,could,3,Ryan,9,6
6,thank,3,Ryan,9,7
7,silicon,2,Ryan,9,8
8,kelly,2,Ryan,9,9
9,get,2,Ryan,9,10
0,know,25,Andy,3,1
1,tuna,23,Andy,3,2
2,one,19,Andy,3,3
3,good,18,Andy,3,4
4,big,16,Andy,3,5
5,think,16,Andy,3,6
6,michael,16,Andy,3,7
7,dwight,16,Andy,3,8
8,new,15,Andy,3,9
9,get,14,Andy,3,10
0,know,17,Andy,4,1
1,angela,14,Andy,4,2
2,tuna,13,Andy,4,3
3,got,13,Andy,4,4
4,think,11,Andy,4,5
5,yes,11,Andy,4,6
6,let,10,Andy,4,7
7,right,10,Andy,4,8
8,gon,10,Andy,4,9
9,go,8,Andy,4,10
0,know,30,Andy,5,1
1,get,24,Andy,5,2
2,good,15,Andy,5,3
3,man,15,Andy,5,4
4,way,14,Andy,5,5
5,go,14,Andy,5,6
6,see,14,Andy,5,7
7,little,13,Andy,5,8
8,one,13,Andy,5,9
9,guys,13,Andy,5,10
0,know,35,Andy,6,1
1,right,30,Andy,6,2
2,get,27,Andy,6,3
3,little,27,Andy,6,4
4,got,27,Andy,6,5
5,would,26,Andy,6,6
6,erin,25,Andy,6,7
7,--,19,Andy,6,8
8,one,18,Andy,6,9
9,gon,18,Andy,6,10
0,right,46,Andy,7,1
1,know,35,Andy,7,2
2,one,27,Andy,7,3
3,go,26,Andy,7,4
4,think,23,Andy,7,5
5,gon,22,Andy,7,6
6,would,18,Andy,7,7
7,got,16,Andy,7,8
8,yes,15,Andy,7,9
9,back,14,Andy,7,10
0,know,92,Andy,8,1
1,get,62,Andy,8,2
2,guys,59,Andy,8,3
3,right,58,Andy,8,4
4,going,56,Andy,8,5
5,got,53,Andy,8,6
6,think,50,Andy,8,7
7,one,50,Andy,8,8
8,go,42,Andy,8,9
9,would,38,Andy,8,10
0,know,51,Andy,9,1
1,right,46,Andy,9,2
2,got,44,Andy,9,3
3,get,35,Andy,9,4
4,go,34,Andy,9,5
5,time,27,Andy,9,6
6,gon,27,Andy,9,7
7,good,27,Andy,9,8
8,need,23,Andy,9,9
9,erin,22,Andy,9,10
0,work,1,Robert California,7,1
1,sales,1,Robert California,7,2
0,dwight,3,Robert California,8,1
1,sabre,3,Robert California,8,2
2,store,3,Robert California,8,3
3,great,2,Robert California,8,4
4,could,2,Robert California,8,5
5,jo,2,Robert California,8,6
6,bennett,2,Robert California,8,7
7,shame,2,Robert California,8,8
8,loving,1,Robert California,8,9
9,chemistry,1,Robert California,8,10
0,michael,10,Jan,1,1
1,plan,4,Jan,1,2
2,decided,3,Jan,1,3
3,branch,3,Jan,1,4
4,'ve,3,Jan,1,5
5,sales,3,Jan,1,6
6,anything,2,Jan,1,7
7,want,2,Jan,1,8
8,ok.,2,Jan,1,9
9,ca,2,Jan,1,10
0,michael,80,Jan,2,1
1,know,20,Jan,2,2
2,please,14,Jan,2,3
3,good,12,Jan,2,4
4,would,11,Jan,2,5
5,right,11,Jan,2,6
6,think,11,Jan,2,7
7,gon,10,Jan,2,8
8,go,10,Jan,2,9
9,let,9,Jan,2,10
0,michael,60,Jan,3,1
1,know,38,Jan,3,2
2,good,20,Jan,3,3
3,would,15,Jan,3,4
4,get,15,Jan,3,5
5,think,11,Jan,3,6
6,great,10,Jan,3,7
7,work,10,Jan,3,8
8,please,10,Jan,3,9
9,back,9,Jan,3,10
0,michael,26,Jan,4,1
1,know,20,Jan,4,2
2,babe,9,Jan,4,3
3,go,9,Jan,4,4
4,come,9,Jan,4,5
5,get,8,Jan,4,6
6,pam,7,Jan,4,7
7,little,7,Jan,4,8
8,tell,7,Jan,4,9
9,right,7,Jan,4,10
0,know,13,Jan,5,1
1,/,13,Jan,5,2
2,michael,9,Jan,5,3
3,good,5,Jan,5,4
4,ok,5,Jan,5,5
5,mean,4,Jan,5,6
6,thank,4,Jan,5,7
7,would,4,Jan,5,8
8,baby,4,Jan,5,9
9,astrid,4,Jan,5,10
0,queen,4,Jan,7,1
1,princess,3,Jan,7,2
2,knew,2,Jan,7,3
3,michael,2,Jan,7,4
4,get,2,Jan,7,5
5,wan,2,Jan,7,6
6,good,2,Jan,7,7
7,might,2,Jan,7,8
8,learned,2,Jan,7,9
9,pharmaceutical,1,Jan,7,10
0,--,6,Jan,9,1
1,wallace,4,Jan,9,2
2,spell,4,Jan,9,3
3,david,3,Jan,9,4
4,would,3,Jan,9,5
5,molly,3,Jan,9,6
6,pam,3,Jan,9,7
7,mommy,3,Jan,9,8
8,know,3,Jan,9,9
9,back,2,Jan,9,10
0,come,6,Roy,1,1
1,get,4,Roy,1,2
2,huh,4,Roy,1,3
3,mad,4,Roy,1,4
4,man,3,Roy,1,5
5,let,3,Roy,1,6
6,hell,3,Roy,1,7
7,baby,2,Roy,1,8
8,go,2,Roy,1,9
9,talking,2,Roy,1,10
0,come,11,Roy,2,1
1,right,9,Roy,2,2
2,go,8,Roy,2,3
3,get,6,Roy,2,4
4,pam,6,Roy,2,5
5,know,6,Roy,2,6
6,think,6,Roy,2,7
7,going,5,Roy,2,8
8,got,5,Roy,2,9
9,look,5,Roy,2,10
0,know,13,Roy,3,1
1,got,10,Roy,3,2
2,good,6,Roy,3,3
3,pam,6,Roy,3,4
4,gon,6,Roy,3,5
5,going,6,Roy,3,6
6,get,6,Roy,3,7
7,right,5,Roy,3,8
8,want,5,Roy,3,9
9,go,5,Roy,3,10
0,good,2,Roy,5,1
1,pam,2,Roy,5,2
2,halpert,1,Roy,5,3
3,gon,1,Roy,5,4
4,hit,1,Roy,5,5
5,anything,1,Roy,5,6
6,darryl,1,Roy,5,7
7,happenin,1,Roy,5,8
8,guys,1,Roy,5,9
9,going,1,Roy,5,10
0,ah,2,Roy,9,1
1,aw,2,Roy,9,2
2,everyone,2,Roy,9,3
3,kidding,2,Roy,9,4
4,met,2,Roy,9,5
5,laura,2,Roy,9,6
6,mean,2,Roy,9,7
7,today,2,Roy,9,8
8,actually,2,Roy,9,9
9,darryl,1,Roy,9,10
0,michael,2,Stanley,1,1
1,supposed,2,Stanley,1,2
2,collard,2,Stanley,1,3
3,greens,2,Stanley,1,4
4,green,2,Stanley,1,5
5,surprise,2,Stanley,1,6
6,could,1,Stanley,1,7
7,hands,1,Stanley,1,8
8,promise,1,Stanley,1,9
9,need,1,Stanley,1,10
0,michael,8,Stanley,2,1
1,think,7,Stanley,2,2
2,get,7,Stanley,2,3
