id,speaker,season,count
1146,Warehouse guys,2,1
1147,Warehouse worker,1,2
1148,Warren,7,2
1149,Warren Buffett,7,1
1150,Wendy's phone operator,4,5
1151,White,9,1
1152,Window treatment guy,7,3
1153,Wolf,9,10
1154,Woman,3,4
1155,Woman,4,5
1156,Woman,5,2
1157,Woman,6,4
1158,Woman,7,3
1159,Woman,8,1
1160,Woman,9,4
1161,Woman 1,9,1
1162,Woman 2,9,2
1163,Woman 3,9,1
1164,Woman 4,9,2
1165,Woman at bar,3,1
1166,Woman from Buffalo,5,2
1167,Woman in line,6,3
1168,Woman on mic,4,1
1169,Woman over speakerphone,4,3
1170,Women,2,1
1171,Women,3,1
1172,Women,7,1
1173,Worker,1,5
1174,Worker,9,1
1175,Wrangler,8,2
1176,Young Man,3,1
1177,Young Michael,2,2
1178,Younger Guy,7,3
1179,Zeke,9,15
1180,Zion,6,1
1181,"[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry",9,1
1182,"[repeats]
Andy: Fail",9,1
1183,abe,7,1
1184,sAndy,4,1
1185,song,2,1
