id,speaker,season,count
701,Michael,6,1983
702,Michael,7,1401
703,Michael,9,2
704,Michael ,3,1
705,Michael ,6,1
706,Michael ,7,1
707,Michael & Dwight,3,1
708,Michael & Dwight,6,2
709,Michael & Holly,5,4
710,Michael [on phone],5,2
711,Michael and Andy,7,1
712,Michael and Christian,2,2
713,Michael and Darryl,4,1
714,Michael and Donna,6,1
715,Michael and Dwight,1,1
716,Michael and Dwight,2,3
717,Michael and Dwight,3,3
718,Michael and Dwight,4,2
719,Michael and Dwight,6,2
720,Michael and Erin,6,1
721,Michael and Holly,5,1
722,Michael and Jim,2,2
723,Michael's Ad,4,1
724,"Michael, Holly, and Darryl",5,1
725,"Michael, Pam & Ryan",5,1
726,Michael/Dwight,4,1
727,Michal,5,1
728,Micheal,3,1
729,Micheal,5,6
730,Micheal,6,1
731,Micheal,7,1
732,Michel,1,1
733,Michel,5,1
734,Michel,6,2
735,Michel,7,1
736,Mihael,6,1
737,Miichael,6,1
738,Mikela,6,9
739,Minister,9,2
740,Miss Trudy,2,2
741,Moderator,9,2
742,Molly,9,3
743,Mose,4,13
744,Mose,7,2
745,Mose,8,7
746,Mose,9,9
747,Mose [on phone],7,1
748,Mother,5,4
749,Mr. Beesly,6,2
750,Mr. Brown,1,52
751,Mr. Figaro,4,4
752,Mr. Halpert,6,5
753,Mr. Kapoor,3,1
754,Mr. O'Malley,2,1
755,Mr. Ramish,8,11
756,Mr. Romanko,9,3
757,Mr. Ruger,9,5
758,Mr. Schofield,5,7
759,Mrs. California,8,1
760,Mrs. Davis,9,5
761,Mrs. Kapoor,3,1
762,Mrs. Wallace,6,3
763,Nail manager,9,2
764,Nail stylist 1,9,1
765,Nail stylist 2,9,2
766,Nana,5,10
767,Narrator,8,2
768,Nate,7,25
769,Nate,8,24
770,Nate,9,6
771,Neighbor,4,1
772,Nellie,7,9
773,Nellie,8,233
774,Nellie,9,287
775,Nellie Bertram,7,1
776,Nellie and Pam,9,1
777,New Instant Message,9,1
778,Nick,4,13
779,Nick,6,18
780,Night cleaning crew,6,1
781,Nurse,4,3
782,Nurse,5,3
783,Nurse,6,19
784,Nurse,8,2
785,O'Keefe,6,5
786,Off-camera,9,2
787,Office,6,1
788,Office,7,1
789,Office Staff,2,1
790,Officer,4,1
791,Officer 1,4,3
792,Officer 2,4,2
793,Officer Foley,8,2
794,Offscreen,8,1
795,Old Lady,8,4
796,Old Man,8,4
797,Old Woman,5,1
798,Old Woman,7,3
799,Old lady,6,1
800,Older Woman,7,2
801,Older guy,7,1
802,Oscar,1,58
803,Oscar,2,130
804,Oscar,3,72
805,Oscar,4,111
806,Oscar,5,216
807,Oscar,6,177
808,Oscar,7,197
809,Oscar,8,235
810,Oscar,9,294
811,Oscar and Stanley,4,1
812,Oscar's Computer,9,1
813,Oscar's friend,8,3
814,Oscar's voice from the computer,6,1
815,Other Guy at Bar,2,1
816,Other waitress,3,2
817,Others,8,2
818,Overhead,2,1
819,Overhead,3,1
820,Packer,1,1
821,Packer,2,7
822,Packer,3,19
823,Packer,8,28
824,Pam,1,219
825,Pam,2,729
826,Pam,3,665
827,Pam,4,528
828,Pam,5,706
829,Pam,6,706
830,Pam,7,612
831,Pam,8,475
832,Pam,9,735
833,Pam ,7,1
834,Pam & Dwight,9,1
835,Pam [on phone],5,4
836,Pam and Jim,2,1
837,Pam and Jim,4,1
838,Pam and Kelly,8,1
839,Pam and others,2,1
840,Pam as fourth-biggest client,7,3
841,Pam as ninth-biggest client,7,2
842,Pam's Mom,2,18
843,Pam's dad,6,1
844,Pam's mom,6,11
845,Pam/Jim,2,1
846,Paramedic,8,2
847,Parent in Audience,9,1
848,Parent in audience #1,9,1
849,Parent in audience #2,9,1
850,Paris,3,6
851,Park Ranger,8,3
852,Party Announcer,9,1
853,Party Guest,9,1
854,Party Photographer,9,5
855,Party Waiter,9,1
856,Party guests,8,1
857,Passer-by,7,5
858,Pastor,7,7
859,Pastor,9,1
860,Patty,8,1
861,Paul,4,2
862,Paul Faust,4,1
863,Pediatrician,4,3
864,Penny,6,11
865,People in line,9,1
866,Pete,5,15
867,Pete,6,6
868,Pete,9,192
869,Pete Halpert,6,1
870,Phil,4,10
871,Phil Maguire,4,5
872,Philip,9,1
873,Phillip,9,4
874,Phone,3,1
875,Phone,5,1
876,Phone,8,4
877,Phone Salesman,5,7
878,Photographer,2,14
879,Photographer,3,1
880,Photographer,8,2
881,Photographer,9,1
882,Phylis,2,1
883,Phylis,5,1
884,Phyliss,7,1
885,Phyllis,1,11
886,Phyllis,2,134
887,Phyllis,3,112
